LocID	Location	Time	AgeGrp	AgeGrpStart	AgeGrpSpan	PopMale	PopFemale	PopTotal
4	Afghanistan	2050	0-4	0	5	2889.793	2745.931	5635.724
8	Albania	2050	0-4	0	5	48.923	45.691	94.614
12	Algeria	2050	0-4	0	5	2317.43	2212.779	4530.209
24	Angola	2050	0-4	0	5	5427.478	5337.744	10765.222
28	Antigua and Barbuda	2050	0-4	0	5	3.179	3.089	6.268
32	Argentina	2050	0-4	0	5	1758.734	1691.436	3450.17
51	Armenia	2050	0-4	0	5	78.174	73.932	152.106
533	Aruba	2050	0-4	0	5	2.929	2.789	5.718
36	Australia	2050	0-4	0	5	941.188	891.514	1832.702
40	Austria	2050	0-4	0	5	209.805	199.008	408.813
31	Azerbaijan	2050	0-4	0	5	304.747	287.023	591.77
44	Bahamas	2050	0-4	0	5	12.934	12.257	25.191
48	Bahrain	2050	0-4	0	5	49.757	47.847	97.604
50	Bangladesh	2050	0-4	0	5	5257.374	5018.793	10276.167
52	Barbados	2050	0-4	0	5	6.406	6.185	12.591
112	Belarus	2050	0-4	0	5	244.726	230.289	475.015
56	Belgium	2050	0-4	0	5	316.62	301.744	618.364
84	Belize	2050	0-4	0	5	18.482	17.971	36.453
204	Benin	2050	0-4	0	5	1497.738	1456.435	2954.173
64	Bhutan	2050	0-4	0	5	21.853	21.103	42.956
68	Bolivia (Plurinational State of)	2050	0-4	0	5	581.294	555.212	1136.506
70	Bosnia and Herzegovina	2050	0-4	0	5	50.307	47.941	98.248
72	Botswana	2050	0-4	0	5	137.015	133.918	270.933
76	Brazil	2050	0-4	0	5	5454.754	5197.425	10652.179
96	Brunei Darussalam	2050	0-4	0	5	12.443	11.808	24.251
100	Bulgaria	2050	0-4	0	5	127.051	119.914	246.965
854	Burkina Faso	2050	0-4	0	5	2720.34	2622.906	5343.246
108	Burundi	2050	0-4	0	5	1604.119	1572.503	3176.622
132	Cabo Verde	2050	0-4	0	5	20.233	19.687	39.92
116	Cambodia	2050	0-4	0	5	800.79	766.093	1566.883
120	Cameroon	2050	0-4	0	5	2969.036	2915.326	5884.362
124	Canada	2050	0-4	0	5	1140.8	1083.119	2223.919
148	Chad	2050	0-4	0	5	2179.505	2146.688	4326.193
830	Channel Islands	2050	0-4	0	5	4.764	4.514	9.278
152	Chile	2050	0-4	0	5	483.138	464.57	947.708
156	China	2050	0-4	0	5	33391.615	31221.578	64613.193
344	"China, Hong Kong SAR"	2050	0-4	0	5	164.752	154.648	319.4
446	"China, Macao SAR"	2050	0-4	0	5	19.518	18.65	38.168
158	"China, Taiwan Province of China"	2050	0-4	0	5	408.653	387.121	795.774
170	Colombia	2050	0-4	0	5	1394.085	1328.713	2722.798
174	Comoros	2050	0-4	0	5	78.821	75.983	154.804
178	Congo	2050	0-4	0	5	647.815	634.859	1282.674
188	Costa Rica	2050	0-4	0	5	137.454	130.934	268.388
191	Croatia	2050	0-4	0	5	70.591	66.65	137.241
192	Cuba	2050	0-4	0	5	210.608	199.2	409.808
531	Curaçao	2050	0-4	0	5	4.377	4.177	8.554
196	Cyprus	2050	0-4	0	5	29.164	27.333	56.497
203	Czechia	2050	0-4	0	5	271.136	256.37	527.506
384	Côte d'Ivoire	2050	0-4	0	5	3164.817	3116.853	6281.67
408	Dem. People's Republic of Korea	2050	0-4	0	5	736.956	702.56	1439.516
180	Democratic Republic of the Congo	2050	0-4	0	5	12364.463	12139.354	24503.817
208	Denmark	2050	0-4	0	5	166.116	157.493	323.609
262	Djibouti	2050	0-4	0	5	44.359	43.172	87.531
214	Dominican Republic	2050	0-4	0	5	400.547	382.564	783.111
218	Ecuador	2050	0-4	0	5	767.629	731.353	1498.982
818	Egypt	2050	0-4	0	5	7462.645	7054.671	14517.316
222	El Salvador	2050	0-4	0	5	201.592	192.113	393.705
226	Equatorial Guinea	2050	0-4	0	5	148.078	145.463	293.541
232	Eritrea	2050	0-4	0	5	315.402	301.935	617.337
233	Estonia	2050	0-4	0	5	28.767	27.12	55.887
								
								
								
								
								
								
								
								
								
								
								
748	Eswatini	2050	0-4	0	5	74.1	72.975	147.075
231	Ethiopia	2050	0-4	0	5	10015.844	9708.516	19724.36
242	Fiji	2050	0-4	0	5	41.924	39.816	81.74
246	Finland	2050	0-4	0	5	126.918	120.888	247.806
250	France	2050	0-4	0	5	1762.81	1683.354	3446.164
254	French Guiana	2050	0-4	0	5	24.57	23.412	47.982
258	French Polynesia	2050	0-4	0	5	8.119	7.733	15.852
266	Gabon	2050	0-4	0	5	195.751	192.005	387.756
270	Gambia	2050	0-4	0	5	287.285	281.505	568.79
268	Georgia	2050	0-4	0	5	105	99.106	204.106
276	Germany	2050	0-4	0	5	1854.733	1755.513	3610.246
288	Ghana	2050	0-4	0	5	2707.802	2594.582	5302.384
300	Greece	2050	0-4	0	5	174.411	163.835	338.246
308	Grenada	2050	0-4	0	5	3.398	3.244	6.642
312	Guadeloupe	2050	0-4	0	5	9.987	9.627	19.614
316	Guam	2050	0-4	0	5	5.914	5.594	11.508
320	Guatemala	2050	0-4	0	5	1022.217	975.293	1997.51
324	Guinea	2050	0-4	0	5	1504.672	1484.241	2988.913
624	Guinea-Bissau	2050	0-4	0	5	200.765	197.184	397.949
328	Guyana	2050	0-4	0	5	27.664	26.444	54.108
332	Haiti	2050	0-4	0	5	571.919	551.3	1123.219
340	Honduras	2050	0-4	0	5	457.527	435.921	ERROR893.448
348	Hungary	2050	0-4	0	5	198.166	187.2	385.366
352	Iceland	2050	0-4	0	5	9.481	9.005	18.486
356	India	2050	0-4	0	5	50276.426	46694.653	96971.079
360	Indonesia	2050	0-4	0	5	10700.071	10216.461	20916.532
364	Iran (Islamic Republic of)	2050	0-4	0	5	3188.057	3030.798	6218.855
368	Iraq	2050	0-4	0	5	3585.166	3385.974	6971.14
372	Ireland	2050	0-4	0	5	151.974	144.781	296.755
376	Israel	2050	0-4	0	5	521.457	495.452	1016.909
380	Italy	2050	0-4	0	5	1044.761	983.365	2028.126
388	Jamaica	2050	0-4	0	5	81.599	78.187	159.786
392	Japan	2050	0-4	0	5	2034.599	1927.638	3962.237
400	Jordan	2050	0-4	0	5	450.013	427.375	877.388
398	Kazakhstan	2050	0-4	0	5	941.47	888.177	1829.647
404	Kenya	2050	0-4	0	5	4281.895	4194.394	8476.289
296	Kiribati	2050	0-4	0	5	8.799	8.437	17.236
414	Kuwait	2050	0-4	0	5	157.866	151.234	309.1
417	Kyrgyzstan	2050	0-4	0	5	394.166	373.327	767.493
428	Latvia	2050	0-4	0	5	40.075	37.913	77.988
422	Lebanon	2050	0-4	0	5	176.918	168.313	345.231
426	Lesotho	2050	0-4	0	5	116.02	114.186	230.206
430	Liberia	2050	0-4	0	5	527.745	506.655	1034.4
434	Libya	2050	0-4	0	5	273.144	258.183	531.327
440	Lithuania	2050	0-4	0	5	56.159	53.353	109.512
442	Luxembourg	2050	0-4	0	5	19.592	18.712	38.304
450	Madagascar	2050	0-4	0	5	3078.625	3005.756	6084.381
454	Malawi	2050	0-4	0	5	2153.301	2106.55	4259.851
458	Malaysia	2050	0-4	0	5	1146.232	1079.808	2226.04
462	Maldives	2050	0-4	0	5	14.212	13.364	27.576
466	Mali	2050	0-4	0	5	2855.161	2757.287	5612.448
470	Malta	2050	0-4	0	5	9.398	8.869	18.267
474	Martinique	2050	0-4	0	5	7.363	7.084	14.447
478	Mauritania	2050	0-4	0	5	529.535	511.523	1041.058
480	Mauritius	2050	0-4	0	5	24.625	23.646	48.271
175	Mayotte	2050	0-4	0	5	22.902	22.236	45.138
928	Melanesia	2050	0-4	0	5	858.001	804.75	1662.751
484	Mexico	2050	0-4	0	5	4537.774	4323.359	8861.133
954	Micronesia	2050	0-4	0	5	25.638	24.444	50.082
496	Mongolia	2050	0-4	0	5	182.469	177.81	360.279
499	Montenegro	2050	0-4	0	5	14.966	14.242	29.208
504	Morocco	2050	0-4	0	5	1477.099	1394.488	2871.587
508	Mozambique	2050	0-4	0	5	3955.059	3930.497	7885.556
104	Myanmar	2050	0-4	0	5	1932.699	1898.563	3831.262
516	Namibia	2050	0-4	0	5	188.197	187.981	376.178
524	Nepal	2050	0-4	0	5	915.18	862.117	1777.297
528	Netherlands	2050	0-4	0	5	408.684	389.302	797.986
540	New Caledonia	2050	0-4	0	5	9.718	9.256	18.974
554	New Zealand	2050	0-4	0	5	151.035	143.054	294.089
558	Nicaragua	2050	0-4	0	5	277.022	264.298	541.32
562	Niger	2050	0-4	0	5	5033.074	4841.714	9874.788
566	Nigeria	2050	0-4	0	5	25776.781	24588.605	50365.386
807	North Macedonia	2050	0-4	0	5	41.292	39.187	80.479
578	Norway	2050	0-4	0	5	174.803	164.689	339.492
1835	Oceania (excluding Australia and New Zealand)	2050	0-4	0	5	915.232	858.907	1774.139
512	Oman	2050	0-4	0	5	194.039	184.835	378.874
586	Pakistan	2050	0-4	0	5	15025.773	14112.701	29138.474
591	Panama	2050	0-4	0	5	194.946	185.805	380.751
598	Papua New Guinea	2050	0-4	0	5	700.64	654.613	1355.253
600	Paraguay	2050	0-4	0	5	314.343	300.16	614.503
604	Peru	2050	0-4	0	5	1218.166	1160.325	2378.491
608	Philippines	2050	0-4	0	5	5179.404	4903.683	10083.087
616	Poland	2050	0-4	0	5	731.087	692.331	1423.418
957	Polynesia	2050	0-4	0	5	31.593	29.713	61.306
620	Portugal	2050	0-4	0	5	179.838	169.769	349.607
630	Puerto Rico	2050	0-4	0	5	39.794	37.801	77.595
634	Qatar	2050	0-4	0	5	69.904	66.41	136.314
410	Republic of Korea	2050	0-4	0	5	770.299	727.482	1497.781
498	Republic of Moldova	2050	0-4	0	5	71.543	67.772	139.315
642	Romania	2050	0-4	0	5	388.952	367.823	756.775
643	Russian Federation	2050	0-4	0	5	4097.948	3888.146	7986.094
646	Rwanda	2050	0-4	0	5	1143.365	1115.898	2259.263
638	Réunion	2050	0-4	0	5	28.311	27.485	55.796
662	Saint Lucia	2050	0-4	0	5	3.682	3.581	7.263
670	Saint Vincent and the Grenadines	2050	0-4	0	5	2.836	2.761	5.597
882	Samoa	2050	0-4	0	5	13.739	12.732	26.471
678	Sao Tome and Principe	2050	0-4	0	5	22.612	22.078	44.69
682	Saudi Arabia	2050	0-4	0	5	1236.901	1201.286	2438.187
686	Senegal	2050	0-4	0	5	1964.964	1909.258	3874.222
688	Serbia	2050	0-4	0	5	150.959	142.444	293.403
690	Seychelles	2050	0-4	0	5	3.363	3.177	6.54
694	Sierra Leone	2050	0-4	0	5	643.834	637.95	1281.784
702	Singapore	2050	0-4	0	5	112.261	103.789	216.05
703	Slovakia	2050	0-4	0	5	116.641	111.141	227.782
705	Slovenia	2050	0-4	0	5	46.71	44.325	91.035
90	Solomon Islands	2050	0-4	0	5	75.694	72.295	147.989
706	Somalia	2050	0-4	0	5	2445.457	2409.378	4854.835
724	Spain	2050	0-4	0	5	904.828	850.94	1755.768
144	Sri Lanka	2050	0-4	0	5	638.945	614.296	1253.241
275	State of Palestine	2050	0-4	0	5	409.113	389.531	798.644
729	Sudan	2050	0-4	0	5	4523.781	4403.658	8927.439
740	Suriname	2050	0-4	0	5	22.657	21.654	44.311
752	Sweden	2050	0-4	0	5	320.151	302.33	622.481
756	Switzerland	2050	0-4	0	5	237.499	226.305	463.804
760	Syrian Arab Republic	2050	0-4	0	5	1218.442	1164.129	2382.571
762	Tajikistan	2050	0-4	0	5	846.648	799.208	1645.856
764	Thailand	2050	0-4	0	5	1333.456	1255.975	2589.431
626	Timor-Leste	2050	0-4	0	5	91.986	88.448	180.434
768	Togo	2050	0-4	0	5	883.656	877.679	1761.335
776	Tonga	2050	0-4	0	5	6.34	6.037	12.377
780	Trinidad and Tobago	2050	0-4	0	5	33.068	31.969	65.037
788	Tunisia	2050	0-4	0	5	423.346	403.181	826.527
792	Turkey	2050	0-4	0	5	2723.994	2594.533	5318.527
795	Turkmenistan	2050	0-4	0	5	313.429	304.428	617.857
800	Uganda	2050	0-4	0	5	4819.253	4724.624	9543.877
804	Ukraine	2050	0-4	0	5	834.529	786.763	1621.292
784	United Arab Emirates	2050	0-4	0	5	277.617	265.815	543.432
826	United Kingdom	2050	0-4	0	5	1985.088	1890.144	3875.232
834	United Republic of Tanzania	2050	0-4	0	5	8397.57	8220.698	16618.268
850	United States Virgin Islands	2050	0-4	0	5	2.129	2.003	4.132
840	United States of America	2050	0-4	0	5	10639.285	10169.779	20809.064
858	Uruguay	2050	0-4	0	5	99.969	95.333	195.302
860	Uzbekistan	2050	0-4	0	5	1484.893	1403.625	2888.518
548	Vanuatu	2050	0-4	0	5	30.025	28.77	58.795
862	Venezuela (Bolivarian Republic of)	2050	0-4	0	5	1158.323	1107.527	2265.85
704	Viet Nam	2050	0-4	0	5	3279.54	3129.388	6408.928
887	Yemen	2050	0-4	0	5	2070.187	1991.78	4061.967
894	Zambia	2050	0-4	0	5	2451.721	2403.172	4854.893
716	Zimbabwe	2050	0-4	0	5	1160.37	1145.846	2306.216
4	Afghanistan	2051	0-4	0	5	2874.823	2731.451	5606.274
8	Albania	2051	0-4	0	5	48.356	45.201	93.557
12	Algeria	2051	0-4	0	5	2314.633	2209.913	4524.546
24	Angola	2051	0-4	0	5	5510.072	5418.253	10928.325
28	Antigua and Barbuda	2051	0-4	0	5	3.167	3.078	6.245
32	Argentina	2051	0-4	0	5	1753.784	1686.832	3440.616
51	Armenia	2051	0-4	0	5	77.115	72.902	150.017
533	Aruba	2051	0-4	0	5	2.931	2.792	5.723
36	Australia	2051	0-4	0	5	946.937	897.148	1844.085
40	Austria	2051	0-4	0	5	210.825	199.992	410.817
31	Azerbaijan	2051	0-4	0	5	300.616	283.475	584.091
44	Bahamas	2051	0-4	0	5	12.861	12.19	25.051
48	Bahrain	2051	0-4	0	5	49.655	47.757	97.412
50	Bangladesh	2051	0-4	0	5	5212.196	4975.751	10187.947
52	Barbados	2051	0-4	0	5	6.369	6.149	12.518
112	Belarus	2051	0-4	0	5	243.679	229.325	473.004
56	Belgium	2051	0-4	0	5	315.607	300.795	616.402
84	Belize	2051	0-4	0	5	18.405	17.895	36.3
204	Benin	2051	0-4	0	5	1514.564	1472.575	2987.139
64	Bhutan	2051	0-4	0	5	21.715	20.982	42.697
